proveedor,archivo,rut_empresa,numero_cuenta,numero_boleta,fecha_emision,periodo_facturado,consumo_total_m3,iva,total_a_pagar,vencimiento,estado,monto_periodo,consumo_total,fecha_vencimiento
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202201.pdf,61.808.000-5,,,,,,,,25-ENE-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202202.pdf,61.808.000-5,,,,,,,,23-FEB-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202203.pdf,61.808.000-5,,,,,,,,23-MAR-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202204.pdf,61.808.000-5,,,,,,,,25-ABR-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202205.pdf,61.808.000-5,,,,,,,,25-MAY-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202206.pdf,61.808.000-5,,,,,,,,23-JUN-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202207.pdf,61.808.000-5,,,,,,,,25-JUL-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202208.pdf,61.808.000-5,,,,,,,,25-AGO-2022,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202209.pdf,61.808.000-5,2392231-2,221235452,03-SEP-2022,02-09-2022,3.4,38.0,45.0,26-SEP-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202210.pdf,61.808.000-5,2392231-2,223110740,03-OCT-2022,03-10-2022,2.26,28.0,34.0,24-OCT-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202211.pdf,61.808.000-5,2392231-2,225007983,03-NOV-2022,02-11-2022,4.49,50.0,60.0,24-NOV-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202212.pdf,61.808.000-5,2392231-2,226878655,02-DIC-2022,02-12-2022,4.67,52.0,62.0,26-DIC-2022,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202301.pdf,61.808.000-5,2392231-2,228795081,02-ENE-2023,02-01-2023,6.28,68.0,81.0,25-ENE-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202302.pdf,61.808.000-5,2392231-2,231927334,02-FEB-2023,02-02-2023,11.49,11.0,14.0,22-FEB-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202303.pdf,61.808.000-5,2392231-2,234052532,03-MAR-2023,02-03-2023,10.06,10.0,12.0,27-MAR-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202304.pdf,61.808.000-5,2392231-2,235998227,02-ABR-2023,02-04-2023,8.77,94.0,11.0,24-ABR-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202305.pdf,61.808.000-5,2392231-2,237891539,03-MAY-2023,03-05-2023,9.97,10.0,12.0,25-MAY-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202306.pdf,61.808.000-5,2392231-2,239847274,02-JUN-2023,02-06-2023,4.29,49.0,59.0,23-JUN-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202307.pdf,61.808.000-5,2392231-2,241772518,03-JUL-2023,03-07-2023,5.44,61.0,72.0,25-JUL-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202308.pdf,61.808.000-5,2392231-2,243621504,02-AGO-2023,02-08-2023,3.31,40.0,47.0,24-AGO-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202309.pdf,61.808.000-5,2392231-2,245646155,02-SEP-2023,02-09-2023,2.08,27.0,33.0,25-SEP-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202310.pdf,61.808.000-5,2392231-2,247559551,03-OCT-2023,03-10-2023,1.11,18.0,21.0,24-OCT-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202311.pdf,61.808.000-5,2392231-2,249557115,03-NOV-2023,03-11-2023,3.32,40.0,47.0,24-NOV-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202312.pdf,61.808.000-5,2392231-2,251470549,02-DIC-2023,02-12-2023,2.52,32.0,38.0,22-DIC-2023,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202401.pdf,61.808.000-5,2392231-2,253413235,02-ENE-2024,02-01-2024,4.12,48.0,57.0,23-ENE-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202402.pdf,61.808.000-5,2392231-2,255296054,02-FEB-2024,02-02-2024,6.95,77.0,92.0,22-FEB-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202403.pdf,61.808.000-5,1896539-9,257503776,02-MAR-2024,02-03-2024,6.77,75.0,90.0,21-MAR-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202404.pdf,61.808.000-5,2392231-2,261607525,02-MAY-2024,02-05-2024,8.28,91.0,10.0,22-MAY-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202405.pdf,61.808.000-5,2392231-2,261607525,02-MAY-2024,02-05-2024,8.28,91.0,10.0,22-MAY-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202406.pdf,61.808.000-5,2392231-2,263517841,02-JUN-2024,02-06-2024,2.31,30.0,36.0,21-JUN-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202407.pdf,61.808.000-5,2392231-2,265585511,02-JUL-2024,02-07-2024,2.32,30.0,36.0,22-JUL-2024,OK,,,
