archivo_pdf,empresa,nro_documento,total_a_pagar,id_cliente,fecha_emision,fecha_vencimiento,consumo_periodo,estado
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202211.pdf,Aguas Andinas,,,2392231-2,03-NOV-2022,24-NOV-2022,449 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202212.pdf,Aguas Andinas,,,2392231-2,02-DIC-2022,26-DIC-2022,467 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202301.pdf,Aguas Andinas,,,2392231-2,02-ENE-2023,25-ENE-2023,628 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202302.pdf,Aguas Andinas,,1,2392231-2,02-FEB-2023,22-FEB-2023,1149 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202303.pdf,Aguas Andinas,,,2392231-2,03-MAR-2023,27-MAR-2023,1006 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202304.pdf,Aguas Andinas,,,2392231-2,02-ABR-2023,24-ABR-2023,877 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202305.pdf,Aguas Andinas,,,2392231-2,03-MAY-2023,25-MAY-2023,997 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202306.pdf,Aguas Andinas,,,2392231-2,02-JUN-2023,23-JUN-2023,429 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202307.pdf,Aguas Andinas,,,2392231-2,03-JUL-2023,25-JUL-2023,544 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202308.pdf,Aguas Andinas,,,2392231-2,02-AGO-2023,24-AGO-2023,331 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202309.pdf,Aguas Andinas,,,2392231-2,02-SEP-2023,25-SEP-2023,208 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202310.pdf,Aguas Andinas,,,2392231-2,03-OCT-2023,24-OCT-2023,111 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202311.pdf,Aguas Andinas,,,2392231-2,03-NOV-2023,24-NOV-2023,332 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202312.pdf,Aguas Andinas,,,2392231-2,02-DIC-2023,22-DIC-2023,252 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202401.pdf,Aguas Andinas,,,2392231-2,02-ENE-2024,23-ENE-2024,412 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202402.pdf,Aguas Andinas,,,2392231-2,02-FEB-2024,22-FEB-2024,695 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202403.pdf,Aguas Andinas,,,1896539-9,02-MAR-2024,21-MAR-2024,677 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202404.pdf,Aguas Andinas,,,2392231-2,02-MAY-2024,22-MAY-2024,828 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202405.pdf,Aguas Andinas,,,2392231-2,02-MAY-2024,22-MAY-2024,828 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202406.pdf,Aguas Andinas,,,2392231-2,02-JUN-2024,21-JUN-2024,231 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202407.pdf,Aguas Andinas,,,2392231-2,02-JUL-2024,22-JUL-2024,232 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202408.pdf,Aguas Andinas,,,2392231-2,02-AGO-2024,21-AGO-2024,341 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202409.pdf,Aguas Andinas,,,2392231-2,02-SEP-2024,21-SEP-2024,225 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202410.pdf,Aguas Andinas,,,2392231-2,02-OCT-2024,22-OCT-2024,342 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202411.pdf,Aguas Andinas,,,2392231-2,02-NOV-2024,21-NOV-2024,332 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202412.pdf,Aguas Andinas,,,2392231-2,02-DIC-2024,21-DIC-2024,456 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202501.pdf,Aguas Andinas,,,2392231-2,02-ENE-2025,22-ENE-2025,41 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202502.pdf,Aguas Andinas,,,2392231-2,02-FEB-2025,20-FEB-2025,904 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202503.pdf,Aguas Andinas,,,2392231-2,03-MAR-2025,21-MAR-2025,83 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202504.pdf,Aguas Andinas,,,2392231-2,02-ABR-2025,22-ABR-2025,1007 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202505.pdf,Aguas Andinas,,,2392231-2,02-MAY-2025,22-MAY-2025,577 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202506.pdf,Aguas Andinas,,,2392231-2,02-JUN-2025,21-JUN-2025,217 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202507.pdf,Aguas Andinas,,,2392231-2,02-JUL-2025,22-JUL-2025,2.16 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202508.pdf,Aguas Andinas,,,2392231-2,02-AGO-2025,21-AGO-2025,2.18 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202008.pdf,Aguas Andinas,,,,,24-AGO-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202009.pdf,Aguas Andinas,,,,,24-SEP-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202010.pdf,Aguas Andinas,,,,,26-OCT-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202011.pdf,Aguas Andinas,,,,,24-NOV-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202012.pdf,Aguas Andinas,,,,,24-DIC-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202101.pdf,Aguas Andinas,,,,,25-ENE-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202102.pdf,Aguas Andinas,,,,,23-FEB-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202103.pdf,Aguas Andinas,,,,,24-MAR-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202104.pdf,Aguas Andinas,,,,,26-ABR-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202105.pdf,Aguas Andinas,,,,,25-MAY-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202106.pdf,Aguas Andinas,,,,,23-JUN-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202107.pdf,Aguas Andinas,,,,,26-JUL-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202108.pdf,Aguas Andinas,,,,,25-AGO-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202109.pdf,Aguas Andinas,,,,,24-SEP-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202110.pdf,Aguas Andinas,,,,,25-OCT-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202111.pdf,Aguas Andinas,,,,,24-NOV-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202112.pdf,Aguas Andinas,,,,,24-DIC-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202201.pdf,Aguas Andinas,,,,,25-ENE-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_QUINCHOS_202202.pdf,Aguas Andinas,,,,,23-FEB-2022,,PARCIAL
